chamber,icpsr,district,state,party,name,congress_id,NOMINATE_dim1,NOMINATE_dim2
House,21112,4,CO,200,"GARDNER, Cory",G000562,0.444,-0.029
House,29710,1,CO,100,"DeGETTE, Diana",D000197,-0.431,-0.305
House,20706,2,CT,100,"COURTNEY, Joe",C001069,-0.342,0.024
House,20907,4,CT,100,"HIMES, James A.",H001047,-0.23900000000000002,-0.229
House,21316,5,CT,100,"ESTY, Elizabeth",E000293,-0.315,-0.078
House,29109,3,CT,100,"DeLAURO, Rosa L.",D000216,-0.41400000000000003,-0.115
House,29908,1,CT,100,"LARSON, John B.",L000557,-0.396,-0.048
House,21113,1,DE,100,"CARNEY, John C., Jr.",C001083,-0.256,-0.14200000000000002
House,13047,13,FL,200,"YOUNG, Charles William (Bill)",Y000031,0.325,-0.112
House,15634,27,FL,200,"ROS-LEHTINEN, Ileana",R000435,0.244,-0.225
House,20110,1,FL,200,"MILLER, Jefferson B. (Jeff)",M001144,0.633,0.155
House,20111,4,FL,200,"CRENSHAW, Ander",C001045,0.333,0.337
House,20316,25,FL,200,"DIAZ-BALART, Mario",D000600,0.28600000000000003,0.129
House,20504,23,FL,100,"WASSERMAN SCHULTZ, Debbie",W000797,-0.418,0.081
House,20708,14,FL,100,"CASTOR, Kathy",C001066,-0.438,0.054
House,20709,16,FL,200,"BUCHANAN, Vernon G.",B001260,0.362,-0.10300000000000001
House,20758,12,FL,200,"BILIRAKIS, Gus",B001257,0.41000000000000003,0.009000000000000001
House,20908,9,FL,100,"GRAYSON, Alan",G000556,-0.363,-0.457
House,20909,8,FL,200,"POSEY, Bill",P000599,0.527,-0.34900000000000003
House,20910,17,FL,200,"ROONEY, Thomas J.",R000583,0.458,0.013000000000000001
House,20959,21,FL,100,"DEUTCH, Theodore E. (Ted)",D000610,-0.401,-0.078
House,21114,2,FL,200,"SOUTHERLAND, Steve",S001186,0.56,0.063
House,21115,11,FL,200,"NUGENT, Richard",N000185,0.483,0.077
House,21116,10,FL,200,"WEBSTER, Daniel A.",W000806,0.527,-0.098
House,21117,15,FL,200,"ROSS, Dennis",R000593,0.531,0.099
House,21118,24,FL,100,"WILSON, Frederica",W000808,-0.48,-0.011
House,21317,3,FL,200,"YOHO, Ted",Y000065,0.704,-0.365
House,21318,6,FL,200,"DeSANTIS, Ron",D000621,0.663,-0.105
House,21319,18,FL,100,"MURPHY, Patrick",M001191,-0.186,-0.026000000000000002
House,21320,19,FL,200,"RADEL, Trey",R000596,0.7020000000000001,-0.25
House,21321,22,FL,100,"FRANKEL, Lois",F000462,-0.402,-0.064
House,21322,26,FL,100,"GARCIA, Joe",G000573,-0.20400000000000001,0.032
House,29328,5,FL,100,"BROWN, Corrine",B000911,-0.429,0.192
House,29331,7,FL,200,"MICA, John L.",M000689,0.453,0.137
House,29337,20,FL,100,"HASTINGS, Alcee Lamar",H000324,-0.5640000000000001,0.157
House,15431,5,GA,100,"LEWIS, John R.",L000287,-0.589,-0.221
House,20319,11,GA,200,"GINGREY, Phil",G000550,0.561,0.272
House,20321,13,GA,100,"SCOTT, David",S001157,-0.304,0.165
House,20505,6,GA,200,"PRICE, Tom",P000591,0.644,-0.073
House,20506,3,GA,200,"WESTMORELAND, Lynn A.",W000796,0.672,0.189
House,20507,12,GA,100,"BARROW, John",B001252,-0.11900000000000001,0.46
House,20712,4,GA,100,"JOHNSON, Hank",J000288,-0.47000000000000003,-0.01
House,20753,10,GA,200,"BROUN, Paul C., Jr.",B001262,0.913,-0.40800000000000003
House,20962,14,GA,200,"GRAVES, Tom",G000560,0.716,-0.002
House,21122,7,GA,200,"WOODALL, Rob",W000810,0.593,-0.17300000000000001
House,21123,8,GA,200,"SCOTT, Austin",S001189,0.558,0.23800000000000002
House,21323,9,GA,200,"COLLINS, Doug",C001093,0.61,0.134
House,29338,1,GA,200,"KINGSTON, Jack",K000220,0.54,0.302
House,29339,2,GA,100,"BISHOP, Sanford Dixon, Jr.",B000490,-0.28400000000000003,0.455
House,21124,1,HI,100,"HANABUSA, Colleen",H001050,-0.37,0.004
House,21324,2,HI,100,"GABBARD, Tulsi",G000571,-0.274,-0.28200000000000003
House,21125,1,ID,200,"LABRADOR, Raúl R.",L000573,0.735,-0.5710000000000001
House,29910,2,ID,200,"SIMPSON, Michael K.",S001148,0.301,0.29
House,20508,3,IL,100,"LIPINSKI, Daniel",L000563,-0.227,0.176
House,20715,6,IL,200,"ROSKAM, Peter",R000580,0.429,0.018000000000000002
House,20749,11,IL,100,"FOSTER, Bill",F000454,-0.232,-0.214
House,20914,18,IL,200,"SCHOCK, Aaron",S001179,0.311,0.185
House,20954,5,IL,100,"QUIGLEY, Mike",Q000023,-0.323,-0.261
House,21128,16,IL,200,"KINZINGER, Adam",K000378,0.234,0.382
House,21129,14,IL,200,"HULTGREN, Randy",H001059,0.49,-0.034
House,21325,8,IL,100,"DUCKWORTH, Tammy",D000622,-0.336,0.093
House,21326,10,IL,100,"SCHNEIDER, Brad",S001190,-0.185,-0.15
House,21327,12,IL,100,"ENYART, Bill",E000292,-0.251,0.159
House,21328,13,IL,200,"DAVIS, Rodney",D000619,0.279,0.17
House,21329,17,IL,100,"BUSTOS, Cheri",B001286,-0.23900000000000002,0.054
