icpsr,district,state,party,NOMINATE_dim1,NOMINATE_dim2,candidate_id,name,ici,ttl_receipts,comm_receipts,ttl_disb,comm_disb,start_cash,end_cash,cand_contrib,cand_loans,ind_contrib,district,state,other_comm_contrib,pty_contrib
20538,6,CA,100,-0.435,-0.152,H6CA05195,"matsui, doris",I,908449.38,0.0,858322.9,0.0,146783.29,196909.77,0.0,0.0,283969.17,CA,6,623077.38,0.0
20539,45,CA,200,0.748,-0.415,H6CA48039,"campbell, john bt iii",I,1295137.64,10200.0,1431706.01,10000.0,717862.64,581294.27,0.0,0.0,624614.06,CA,45,593823.49,0.0
20702,9,CA,100,-0.263,-0.159,H4CA11081,"mcnerney, jerry",I,2532626.42,6964.1,2744513.95,0.0,243581.78,31694.25,0.0,0.0,1616047.64,CA,9,850224.74,4542.6
20703,23,CA,200,0.456,0.222,H6CA22125,"mccarthy, kevin",I,4659697.08,263000.0,3993705.62,0.0,1158230.14,1824221.6,0.0,0.0,1925545.19,CA,23,2422237.64,0.0
20762,14,CA,100,-0.381,-0.41,H8CA12171,"speier, jackie",I,969474.1,0.0,885671.51,0.0,959278.92,1043081.51,0.0,0.0,539596.03,CA,14,417885.2,55.52
20903,4,CA,200,0.687,-0.399,H8CA04152,"mcclintock, thomas",I,1191742.7,0.0,1125498.34,0.0,307364.34,373608.7,0.0,0.0,1076801.65,CA,4,109724.21,0.0
20955,27,CA,100,-0.488,-0.374,H0CA32101,"chu, judy",I,1523172.1,0.0,858348.1,0.0,591813.83,1256637.83,0.0,55000.0,1109396.89,CA,27,351235.0,0.0
20958,3,CA,100,-0.309,-0.095,H0CA10149,"garamendi, john",I,2085819.12,0.0,2094921.97,250.0,49382.93,40280.08,0.0,20000.0,1240583.05,CA,3,770307.38,4795.64
20963,50,CA,200,0.539,0.085,H8CA52052,"hunter, duncan d.",I,986170.44,0.0,993680.5,38000.0,32296.66,24786.6,0.0,0.0,379981.75,CA,50,600806.0,0.0
21109,10,CA,200,0.306,0.212,H0CA19173,"denham, jeff",I,2756588.82,259279.34,2647697.84,0.0,46581.29,155472.27,0.0,0.0,1284763.56,CA,10,1167433.27,0.0
21110,37,CA,100,-0.584,-0.098,H0CA33117,"bass, karen",I,692988.53,0.0,803966.15,0.0,163362.54,52384.92,0.0,0.0,237094.76,CA,37,442998.27,0.0
21195,44,CA,100,-0.39,-0.376,H8CA36097,"hahn, janice",I,2521898.96,0.0,2483980.0,0.0,0.0,37918.96,0.0,0.0,1620471.64,CA,44,876029.79,337.56
21302,1,CA,200,0.534,0.04,H2CA02142,"lamalfa, doug",C,872995.42,16385.88,775941.69,0.0,0.0,97053.73,0.0,0.0,369683.14,CA,1,333027.98,0.0
21303,2,CA,100,-0.43,-0.558,H2CA06259,"huffman, jared",O,1449511.65,0.0,1262439.87,0.0,0.0,187071.78,405.24,0.0,1003532.07,CA,2,403424.22,0.0
21304,7,CA,100,-0.238,0.013,H0CA03078,"bera, amerish",C,3664781.6,12250.0,3564211.09,0.0,6935.76,107506.27,40754.94,150000.0,2719384.89,CA,7,703190.09,9687.89
21305,8,CA,200,0.372,0.208,H2CA08164,"cook, paul",C,610014.28,0.0,583981.44,0.0,0.0,26032.84,0.0,25000.0,335916.33,CA,8,243738.0,0.0
21306,15,CA,100,-0.362,-0.083,H2CA15094,"swalwell, eric michael",C,826186.24,0.0,799576.22,0.0,0.0,26610.02,0.0,0.0,700345.18,CA,15,124700.0,0.0
21307,21,CA,200,0.267,0.386,H2CA20094,"valadao, david",C,1315897.19,20993.2,1181112.9,0.0,0.0,134784.29,0.0,0.0,713173.28,CA,21,574499.79,0.0
21308,26,CA,100,-0.291,0.049,H2CA00120,"brownley, julia",C,2155827.82,0.0,2106885.83,195.0,0.0,49984.85,0.0,0.0,1568737.04,CA,26,506108.67,0.0
21309,29,CA,100,-0.39,0.005,H2CA28113,"cardenas, tony",C,844097.25,0.0,709796.98,0.0,0.0,134300.27,0.0,0.0,447719.83,CA,29,382350.0,0.0
21310,35,CA,100,-0.437,0.035,H2CA35118,"mcleod, gloria negrete",C,352549.74,0.0,344428.44,0.0,0.0,8118.65,0.0,50000.0,228993.54,CA,35,69514.57,0.0
21311,36,CA,100,-0.249,0.05,H2CA36439,"ruiz, raul dr.",C,1976758.0,0.0,1925464.26,0.0,0.0,51293.74,5000.0,0.0,1484104.97,CA,36,468824.54,14486.46
