bill_id,year,date,bill_str,bill_desc,congno,sponsors,cosponsors,tw_latent1,tw_abortion_and_social_conservatism,tw_agriculture,tw_banking_and_finance,tw_civil_rights,tw_congress_and_procedural,tw_crime,tw_defense_and_foreign_policy,tw_economy,tw_education,tw_energy,tw_environment,tw_fair_elections,tw_federal_agencies_and_gov_regulation,tw_guns,tw_healthcare,tw_higher_education,tw_immigration,tw_indian_affairs,tw_intelligence_and_surveillance,tw_labor,tw_law_courts_and_judges,tw_transportation,tw_veterans_affairs,tw_womens_issues
pn786,2013,12/13/2013,"PN786|On the Cloture Motion PN786|Anne W. Patterson, of Virginia, to be an Assistant Secretary of State (Near Eastern Affairs)","Anne W. Patterson, of Virginia, to be an Assistant Secretary of State (Near Eastern Affairs)",113,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pn808,2013,12/13/2013,"PN808|On the Cloture Motion PN808|Heather Anne Higginbottom, of the District of Columbia, to be Deputy Secretary of State for Management and Resources","Heather Anne Higginbottom, of the District of Columbia, to be Deputy Secretary of State for Management and Resources",113,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hres438,2013,12/12/2013,"H RES 438|On Ordering the Previous Question|Providing for consideration of the Senate amendment to H.J.Res. 59, making continuing appropriations for fiscal year 2014, and for other purposes; providing for consideration of motions to suspend the rules; providing for proceedings during the period from December 14, 2013, through January 6, 2014","Providing for consideration of the Senate amendment to H.J.Res. 59, making continuing appropriations for fiscal year 2014, and for other purposes; providing for consideration of motions to suspend the rules; providing for proceedings during the period from December 14, 2013, through January 6, 2014",113,cand1113,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pn243,2013,12/12/2013,"PN243|On the Cloture Motion PN243|Patricia M. Wald, of the District of Columbia, to be a Member of the Privacy and Civil Liberties Oversight Board for a term expiring January 29, 2019","Patricia M. Wald, of the District of Columbia, to be a Member of the Privacy and Civil Liberties Oversight Board for a term expiring January 29, 2019",113,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pn424,2013,12/12/2013,"PN424|On the Cloture Motion PN424|Elizabeth A. Wolford, of New York, to be United States District Judge for the Western District of New York","Elizabeth A. Wolford, of New York, to be United States District Judge for the Western District of New York",113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pn460,2013,12/12/2013,"PN460|On the Cloture Motion PN460|Landya B. McCafferty, of New Hampshire, to be United States District Judge for the District of New Hampshire","Landya B. McCafferty, of New Hampshire, to be United States District Judge for the District of New Hampshire",113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pn461,2013,12/12/2013,"PN461|On the Cloture Motion PN461|Brian Morris, of Montana, to be United States District Judge for the District of Montana","Brian Morris, of Montana, to be United States District Judge for the District of Montana",113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pn462,2013,12/12/2013,"PN462|On the Cloture Motion PN462|Susan P. Watters, of Montana, to be United States District Judge for the District of Montana","Susan P. Watters, of Montana, to be United States District Judge for the District of Montana",113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pn507,2013,12/12/2013,"PN507|On the Cloture Motion PN507|Chai Rachel Feldblum, of the District of Columbia, to be a Member of the Equal Employment Opportunity Commission for a term expiring July 1, 2018","Chai Rachel Feldblum, of the District of Columbia, to be a Member of the Equal Employment Opportunity Commission for a term expiring July 1, 2018",113,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pn774,2013,12/12/2013,"PN774|On the Cloture Motion PN774|Deborah Lee James, of Virginia, to be Secretary of the Air Force","Deborah Lee James, of Virginia, to be Secretary of the Air Force",113,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr1992,2013,12/11/2013,"H R 1992|On Motion to Suspend the Rules and Pass, as Amended|To amend the requirements relating to assessment of Israel’s qualitative military edge over military threats, and for other purposes","To amend the requirements relating to assessment of Israel’s qualitative military edge over military threats, and for other purposes",113,cand41667,cand1433|cand295|cand1260|cand1501|cand776|cand894|cand928|cand951|cand969|cand980|cand964|cand1056|cand1086|cand1103|cand1119|cand1137|cand1144|cand1151|cand189537|cand40481|cand40366|cand41075|cand41398|cand41493|cand41775|cand41950|cand43941|cand43291|cand44045|cand44403|cand44967|cand45059|cand45177,0.3929095,0.0,0.0,0.0,0.0,0.00017604,6.63748e-05,0.60656677,0.0,0.0,0.0,0.0,0.0,0.000205296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr1402,2013,12/10/2013,"H R 1402|On Motion to Suspend the Rules and Pass, as Amended|VA Expiring Authorities Extension Act of 2013",VA Expiring Authorities Extension Act of 2013,113,cand1033,cand856|cand40981,0.458495056,0.0,0.0,0.0,0.011682516,0.0,0.0,7.29767e-05,3.90815e-05,0.0,0.0,0.0,0.0,0.097904301,0.0,0.0,0.012953097,0.0,0.0,0.0,0.0,0.0,0.0,0.327916349,0.0
hr3309,2013,12/5/2013,H R 3309|On Agreeing to the Amendment|,,113,cand1559,cand1240|cand1251|cand823|cand1341|cand842|cand677|cand1387|cand723|cand757|cand865|cand1076|cand1151|cand1158|cand1172|cand40450|cand43321,0.793654504,0.0,0.0,0.0,0.0,1.09321e-05,0.0,0.0,0.00554426,0.0,0.0,0.0,0.0,0.002647269,0.0,0.01409488,0.0,8.23055e-06,0.0,0.0,0.0,0.184039925,0.0,0.0,0.0
hr1105,2013,12/4/2013,H R 1105|On Agreeing to the Amendment|,,113,cand1174,cand1240|cand1215|cand1472|cand860|cand887|cand902|cand605|cand1034|cand1053|cand1120|cand1152|cand41546,0.751330951,0.0,0.0,0.196167538,0.0,0.0,0.0,0.0,0.017982509,0.0,0.0,0.0,0.0,0.028010396,0.0,0.0,0.0,0.0,0.0,0.006508606,0.0,0.0,0.0,0.0,0.0
hres429,2013,12/4/2013,"H RES 429|On Ordering the Previous Question|Providing for consideration of H.R. 3309, the Innovation Act; and H.R. 1105, the Small Business Capital Access and Job Preservation Act","Providing for consideration of H.R. 3309, the Innovation Act; and H.R. 1105, the Small Business Capital Access and Job Preservation Act",113,cand1106,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr1204,2013,12/3/2013,"H R 1204|On Motion to Suspend the Rules and Pass, as Amended|To amend title 49, United States Code, to direct the Assistant Secretary of Homeland Security (Transportation Security Administration) to establish an Aviation Security Advisory Committee, and for other purposes","To amend title 49, United States Code, to direct the Assistant Secretary of Homeland Security (Transportation Security Administration) to establish an Aviation Security Advisory Committee, and for other purposes",113,cand1307,cand1410|cand953|cand1128|cand1131|cand1144|cand40569|cand43557|cand43257,0.492410635,0.0,0.0,0.0,0.048625002,0.000117838,0.030210997,0.000148593,0.051381162,0.0,0.0,0.0,0.0,0.250971433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103865362,0.0,0.022268978
hr3588,2013,12/2/2013,H R 3588|On Motion to Suspend the Rules and Pass|Community Fire Safety Act of 2013,Community Fire Safety Act of 2013,113,cand1151,cand1061,0.683934818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283156299,0.0,0.000107276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr1900,2013,11/21/2013,H R 1900|On Agreeing to the Amendment|,,113,cand1127,cand1525|cand858|cand515|cand1484|cand670|cand860|cand899|cand912|cand917|cand1019|cand1046|cand1052|cand1075|cand1103|cand1151|cand1158|cand1159|cand1162|cand1176|cand189537|cand41493|cand78036,0.615345035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31928202,0.0,0.0,0.065372945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1197,2013,11/21/2013,"S. 1197|On the Cloture Motion S. 1197|An original bill to authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","An original bill to authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",113,cand481,,0.113602282,0.011388151,0.000124195,0.010442383,0.002716278,0.102883798,0.01683685,0.025877929,0.049366059,0.001212609,0.004208532,0.000603879,0.004600794,0.037326671,0.0,0.005576614,0.008682734,0.006217359,0.012434753,0.00792538,9.5625e-05,0.017664029,0.003456445,0.473613847,0.006269955
sconres28,2013,11/21/2013,S.Con.Res. 28|On the Concurrent Resolution S.Con.Res. 28|A concurrent resolution providing for a conditional adjournment or recess of the Senate and an adjournment of the House of Representatives.,A concurrent resolution providing for a conditional adjournment or recess of the Senate and an adjournment of the House of Representatives.,113,cand640,,1.75691e-05,0.0,0.0,0.0,0.0,0.999969611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr1965,2013,11/20/2013,H R 1965|On Agreeing to the Amendment|,,113,cand969,cand1162|cand78036,0.612460979,0.0,0.0,7.04656e-05,0.0,0.0,0.0,0.0,0.000230329,0.0,0.269166293,0.029379759,0.0,5.60197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009143526,0.0,0.0,0.0
hr2728,2013,11/20/2013,H R 2728|On Agreeing to the Amendment|,,113,cand1170,cand1417|cand903|cand918|cand922|cand956|cand969|cand1045|cand1080|cand1098|cand1113|cand1155|cand1156|cand1159|cand1172|cand1176|cand41493|cand43257|cand78036|cand44967,0.698691592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301238979,0.0,0.0,6.94291e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hres420,2013,11/20/2013,"H RES 420|On Ordering the Previous Question|Providing for consideration of the bill (H.R. 1900) to provide for the timely consideration of all licenses, permits, and approvals required under Federal law with respect to the sitting, construction, expansion, or operation of any natural gas pipeline projects, and for other purposes","Providing for consideration of the bill (H.R. 1900) to provide for the timely consideration of all licenses, permits, and approvals required under Federal law with respect to the sitting, construction, expansion, or operation of any natural gas pipeline projects, and for other purposes",113,cand921,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hres419,2013,11/19/2013,H RES 419|On Ordering the Previous Question|Providing for consideration of the bill (H.R. 1965) Federal Lands Jobs and Energy Security Act and providing for consideration of the bill (H.R. 2728) Protecting States’ Rights to Promote American Energy Security Act,Providing for consideration of the bill (H.R. 1965) Federal Lands Jobs and Energy Security Act and providing for consideration of the bill (H.R. 2728) Protecting States’ Rights to Promote American Energy Security Act,113,cand923,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr272,2013,11/18/2013,"H R 272|On Motion to Suspend the Rules and Pass, as Amended|To designate the Department of Veterans Affairs and Department of Defense joint outpatient clinic to be constructed in Marina, California, as the “General William H. Gourley Federal Outpatient Clinic: A Joint VA-DOD Health Care Facility”","To designate the Department of Veterans Affairs and Department of Defense joint outpatient clinic to be constructed in Marina, California, as the “General William H. Gourley Federal Outpatient Clinic: A Joint VA-DOD Health Care Facility”",113,cand1252,cand1505|cand274|cand1503|cand1251|cand823|cand1341|cand1499|cand1433|cand1254|cand824|cand295|cand1255|cand1256|cand1507|cand1195|cand1260|cand1509|cand1262|cand793|cand1435|cand827|cand828|cand1278|cand842|cand1220|cand1383|cand1472|cand856|cand858|cand1410|cand865|cand1493|cand875|cand876|cand605|cand121877|cand924|cand962|cand954|cand967|cand1026|cand968|cand971|cand977|cand1021|cand985|cand1018|cand995|cand134698|cand1061|cand1062|cand1082|cand1085|cand1090|cand1100|cand1101|cand189554|cand1137|cand1183|cand40344|cand40394|cand40450|cand35060|cand40481|cand40569|cand40621|cand40368|cand40734|cand40829|cand40871|cand40981|cand40366|cand41075|cand41113|cand50384|cand119903|cand45177|cand45500,0.653798028,0.0,0.0,0.0,0.0,9.21741e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04532e-05,0.0,0.000143691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345925654,0.0
pn529,2013,11/18/2013,"PN529|On the Cloture Motion PN529|Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit","Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit",113,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hr3350,2013,11/15/2013,H R 3350|On Motion to Table the Appeal of the Ruling of the Chair|Keep Your Health Plan Act of 2013,Keep Your Health Plan Act of 2013,113,cand758,cand1427|cand1240|cand210|cand1262|cand830|cand1277|cand1444|cand1359|cand1362|cand541|cand1212|cand840|cand844|cand1525|cand1376|cand1378|cand1314|cand1383|cand677|cand1472|cand1387|cand850|cand1536|cand1477|cand858|cand767|cand515|cand1484|cand670|cand859|cand757|cand863|cand1559|cand1417|cand866|cand1543|cand869|cand885|cand897|cand899|cand908|cand910|cand911|cand912|cand917|cand918|cand919|cand921|cand922|cand923|cand962|cand928|cand929|cand930|cand944|cand945|cand947|cand949|cand950|cand951|cand953|cand955|cand958|cand959|cand969|cand1022|cand974|cand980|cand1023|cand989|cand992|cand1019|cand1033|cand1036|cand1037|cand1042|cand1043|cand1046|cand1051|cand1052|cand1056|cand1074|cand1075|cand1080|cand1090|cand1092|cand1094|cand1097|cand1098|cand1099|cand1100|cand1103|cand1105|cand1106|cand1107|cand1114|cand1116|cand1119|cand1120|cand1122|cand1123|cand1125|cand1126|cand1127|cand1130|cand1132|cand1133|cand1137|cand1138|cand1139|cand1140|cand1141|cand1143|cand1144|cand1146|cand1149|cand1151|cand1152|cand1153|cand1154|cand1155|cand1156|cand1157|cand1159|cand1164|cand1166|cand1168|cand1170|cand1172|cand1176|cand1177|cand1178|cand1179|cand1180|cand1181|cand1184|cand1338|cand40348|cand189537|cand40394|cand40481|cand40621|cand41546|cand41493|cand119904|cand36557|cand42104|cand36550|cand36826|cand42792|cand42972|cand104809|cand55939|cand43257|cand43271|cand43291|cand43321|cand78036|cand121656|cand44665|cand44967|cand45174|cand1407|cand45267,0.401087492,0.0,0.0,0.0,0.0,0.19718141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401731098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hres413,2013,11/15/2013,"H RES 413|On Ordering the Previous Question|Providing for consideration of the bill (H.R. 3350) to authorize health insurance issuers to continue to offer for sale current individual health insurance coverage in satisfaction of the minimum essential health insurance coverage requirement, and for other purposes","Providing for consideration of the bill (H.R. 3350) to authorize health insurance issuers to continue to offer for sale current individual health insurance coverage in satisfaction of the minimum essential health insurance coverage requirement, and for other purposes",113,cand921,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr2655,2013,11/14/2013,H R 2655|On Motion to Recommit with Instructions|Lawsuit Abuse Reduction Act of 2013,Lawsuit Abuse Reduction Act of 2013,113,cand757,cand1559|cand872|cand1002|cand1076|cand1158|cand1172|cand43321,0.617132042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382867958,0.0,0.0,0.0
hr982,2013,11/13/2013,H R 982|On Agreeing to the Amendment|,,113,cand1172,cand1387|cand860,0.709437767,0.0,0.0,0.019624507,0.0,0.0,0.0,0.0,0.001803167,0.0,0.0,0.019392726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249741832,0.0,0.0,0.0
hres403,2013,11/13/2013,"H RES 403|On Ordering the Previous Question|Providing for consideration of H.R. 2655, the Lawsuit Abuse Reduction Act of 2013, and providing for consideration of H.R. 982, the Furthering Asbestos Claim Transparency Act of 2013","Providing for consideration of H.R. 2655, the Lawsuit Abuse Reduction Act of 2013, and providing for consideration of H.R. 982, the Furthering Asbestos Claim Transparency Act of 2013",113,cand1113,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hr2922,2013,11/12/2013,H R 2922|On Motion to Suspend the Rules and Pass|To extend the authority of the Supreme Court Police to protect court officials away from the Supreme Court grounds,To extend the authority of the Supreme Court Police to protect court officials away from the Supreme Court grounds,113,cand43321,cand53|cand677|cand1322|cand1158,0.737035244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262964756,0.0,0.0,0.0
